imageid,datetime,nadults,nchicks,neggs,tempc,lunar_phase,URL
SPIGa2013b_000001,2013:01:09 15:00:00,15,0,0,22.78,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304eab1.JPG
SPIGa2013b_000002,2013:01:09 16:00:00,18,6,0,22.22,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304eab3.JPG
SPIGa2014a_000070,2013:12:28 15:00:00,29,0,0,21.11,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f3051405.JPG
SPIGa2012a_000134,2012:12:04 15:00:00,16,0,0,20,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eae12fc4d79f304e8af.JPG
SPIGa2012a_000162,2012:12:06 13:00:00,13,0,0,20,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e8e7.JPG
SPIGa2014a_000069,2013:12:28 14:00:00,35,0,0,20,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f3051403.JPG
SPIGa2012a_000133,2012:12:04 14:00:00,11,0,0,18.89,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eae12fc4d79f304e8ad.JPG
SPIGa2014a_000041,2013:12:26 14:00:00,36,0,0,18.89,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513cb.JPG
SPIGa2012a_000379,2012:12:20 20:00:00,22,0,0,18.33,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304ea99.JPG
SPIGa2013b_000346,2013:02:01 15:00:00,13,12,0,18.33,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb312fc4d79f304ed63.JPG
SPIGa2012a_000135,2012:12:04 16:00:00,14,0,0,17.78,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eae12fc4d79f304e8b1.JPG
SPIGa2012a_000378,2012:12:20 19:00:00,21,0,0,17.78,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304ea97.JPG
SPIGa2012a_000192,2012:12:08 13:00:00,14,0,0,17.22,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e923.JPG
