"plid","nadults","stablelink","datetime","moon","tempf"
"LOCKb2013a_000006",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bae12fc4d79f301f42d.JPG",2012-12-13 16:00:00,"new",47
"LOCKb2013a_000044",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f479.JPG",2012-12-16 12:00:00,"newcres",39
"LOCKb2013a_000046",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f47d.JPG",2012-12-16 14:00:00,"newcres",41
"LOCKb2013a_000047",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f47f.JPG",2012-12-16 15:00:00,"newcres",41
"LOCKb2013a_000049",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f483.JPG",2012-12-16 17:00:00,"newcres",42
"LOCKb2013a_000050",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f485.JPG",2012-12-16 18:00:00,"newcres",38
"LOCKb2013a_000051",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f487.JPG",2012-12-16 19:00:00,"newcres",37
"LOCKb2013a_000052",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f489.JPG",2012-12-16 20:00:00,"newcres",38
"LOCKb2013a_000053",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f48b.JPG",2012-12-17 07:00:00,"newcres",30
"LOCKb2013a_000054",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f48d.JPG",2012-12-17 08:00:00,"newcres",31
"LOCKb2013a_000055",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f48f.JPG",2012-12-17 09:00:00,"newcres",32
"LOCKb2013a_000056",23,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f491.JPG",2012-12-17 10:00:00,"newcres",33
"LOCKb2013a_000057",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f493.JPG",2012-12-17 11:00:00,"newcres",34
"LOCKb2013a_000058",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f495.JPG",2012-12-17 12:00:00,"newcres",35
"LOCKb2013a_000059",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f497.JPG",2012-12-17 13:00:00,"newcres",36
"LOCKb2013a_000060",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f499.JPG",2012-12-17 14:00:00,"newcres",37
"LOCKb2013a_000061",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f49b.JPG",2012-12-17 15:00:00,"newcres",37
"LOCKb2013a_000062",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f49d.JPG",2012-12-17 16:00:00,"newcres",35
